Date,Alternatives - Global Macro,Alternative - Liquid Alts,Alternatives - Hedge Funds,Cash,Commodities - Commodities ex Precious Metals,Commodities - Gold,Equity - Asia ex Japan (USD),Equity - EU (USD),Equity - Japan (USD),Equity - China A (USD),Equity - US Large Cap,Equity - US Large Cap Growth,Equity - US Large Cap Value,Equity - US Small Cap,Equity - Global ex US (USD),Equity - EM (USD),Fixed Income -Mortgage-Backed Assets,Fixed Income - US High Yield,Fixed Income - US Investment Grade,Fixed Income - EM (USD),Fixed Income - US Treasury,Fixed Income - EUR Treasury,Fixed Income - EM Local CCY (USD Hedge),Fixed Income - GBP Gilts,Finxed Income - CAD,Fixed Income - AUD,Fixed Income - JPY,Fixed Income - MUST DELETE,Equity - Preferred Stock,Equity - REIT,Fixed Income - Aggregate,Fixed Income - Short Duration,Fixed Income - Sovereign & Agency,Fixed Income - Municipals,Equity - Emerging Markets,Fixed Income - China Treasury
2013-08,,-0.95062,,0.00153,2.57348,6.33288,-1.47436,-1.2196,-2.38272,,-2.89616,-1.62325,-3.91444,-1.06705,-1.3793,-1.88262,-0.28614,-0.60735,-1.10491,-2.88595,-0.4815,-0.57243,-0.70046,-1.07506,-0.65497,-0.58019,0.44586,-1.38916,-1.84205,-4.29577,-0.52452,-0.06303,-0.86589,-1.42638,-1.78466,-0.94918
2013-09,,0.97307,,0.00536,-2.09665,-4.94765,5.44519,7.31797,8.37714,,3.13595,4.22819,1.81488,6.72803,6.94711,3.20394,1.40804,0.99311,1.47801,2.98966,0.70122,1.03508,1.3354,0.82804,0.51519,0.54222,0.51264,-0.19261,0.27053,5.76425,2.05577,0.28061,1.05615,2.15197,6.5834,-0.06511
2013-10,,1.21452,,-0.00153,-1.68321,-0.24448,4.37888,4.55725,0.00282,,4.59678,5.28795,4.3018,1.96,3.67244,1.99903,0.68143,2.50533,1.67417,2.89529,0.47487,1.79255,1.59766,0.69272,0.97778,-0.3591,0.589,-0.61896,1.21599,2.84557,0.98266,0.18867,0.92759,0.78961,4.63131,-0.25978
2013-11,,0.74997,,0.00459,-0.00001,-5.61198,0.17177,1.34452,5.69562,,3.0474,3.10759,3.52638,2.59596,0.17116,-2.46924,-0.62234,0.50753,-0.3529,-2.01798,-0.29363,0.57867,2.17017,-0.96479,-0.22294,-0.42918,0.09372,-1.04885,0.40545,-3.4367,-0.81859,0.14403,-0.30456,-0.20619,-0.5391,-1.01638
2013-12,,0.71671,,0.0176,1.90777,-3.84072,-1.09246,2.36401,3.43349,,2.53161,2.70269,2.448,3.6624,0.8817,0.67231,-0.47185,0.53968,-0.16146,0.49897,-0.87096,0.11482,4.76763,-1.17295,-0.4859,0.45162,-0.51547,-0.72305,-1.07238,0.201,-0.59709,-0.09961,-0.57402,-0.25533,-2.01828,0.32525
2014-01,,-0.89923,,-0.00153,0.25849,3.0734,-4.98171,-4.1151,-6.89999,,-3.45741,-3.16722,-4.3216,-1.35306,-4.54471,-2.55012,1.56337,0.70115,1.02007,-0.84996,1.30819,-0.32285,-7.44659,2.08962,2.6637,1.26413,0.77765,1.1658,2.67733,-0.25168,1.05732,0.21449,1.07015,1.94851,-6.60004,0.77412
2014-02,,1.30044,,0.01148,5.96829,6.60281,3.48021,7.4211,-0.4433,,4.57439,4.61116,3.86819,5.68948,5.02378,1.79058,0.34425,2.02311,1.31978,3.44722,0.27529,1.72319,7.3493,0.15557,0.35341,0.19519,0.22691,1.16894,2.2443,4.12462,1.40114,0.14851,0.87932,1.17252,2.81148,0.09991
2014-03,,-0.0972,,0.02065,1.22858,-2.87471,1.01269,-1.16415,-0.37403,,0.84057,-0.60655,2.74979,-2.40903,0.25629,0.9498,-0.32171,0.23637,0.1052,1.29315,-0.27359,0.5488,1.48895,0.02147,-0.24149,-0.17056,-0.23636,0.02185,1.86488,0.14621,-0.06791,-0.08481,0.1377,0.1678,2.11258,-1.28724
2014-04,,0.2001,,0.00535,2.88238,0.94536,0.73135,2.64565,-3.37126,,0.7392,0.69872,1.17744,-3.68766,1.32082,0.57465,0.92461,0.63335,0.73451,1.33671,0.55034,0.91766,1.56506,0.75628,0.51779,0.9556,0.14507,0.97211,1.85309,3.08327,1.13166,0.16879,0.92819,1.20171,-0.46279,0.32095
2014-05,,0.94682,,-0.00459,-2.75901,-3.87246,4.0568,1.00459,3.66391,,2.34741,3.3023,1.37935,1.85361,1.94403,2.02168,1.20316,0.91987,1.99954,3.23358,0.91609,1.48641,0.52562,0.9643,1.30913,1.66565,0.29851,1.99019,1.35714,3.24188,0.59225,0.23097,1.24301,1.28806,4.25556,1.99212
